,S0,S1,S2,S3,S4,S5,S6,S7,S8,S9
t0,-0.9133508058231297,-3.4317872017320274,-5.179505500036567,5.471405757961822,-3.7685614884103047,-2.828925240328464,1.5686495889733747,1.6961506610027302,-0.0700698619904293,-0.5135470332388483
t1,2.2574486768349535,-5.507949176887372,0.7823913876204744,-4.401153514272107,2.9344399301009862,-1.1611576669050405,1.4666722365225253,-3.0577895729742277,3.044968676435464,5.1717227030208655
t2,2.693853658031588,-4.8267148871709935,3.392346280140965,-2.382858965083479,0.2540356613771287,8.028276368890095,5.548893353222047,0.5528507210023694,2.1980948306742425,-0.6960881403661701
t3,-0.9401715707553251,3.475278776858456,8.803147870446136,-3.9463788954227232,1.9919310125792589,0.9664163616775145,-5.524904072697741,-2.038177888707066,-3.2968802795618757,0.3647027274381488
t4,-4.606511105107742,-6.785705384195059,4.072762054088082,-3.174570517184704,-1.0064889121224279,-5.351678799060185,2.442550679327258,-1.5798166677520187,0.633963777589436,0.536842834322561
t5,-4.263684205244059,2.2191149424953807,0.2733008303050678,0.6734620477104517,1.846151680032709,2.9968463394476834,-3.750837257821694,-4.144795803107274,0.34748250720922574,2.530571191704468
t6,-3.4702063714829565,-5.533002635942478,4.162436910503798,5.148013347397586,-1.3370821697407613,1.4137807677063614,-5.219588039459193,1.215982705652676,0.653836524975553,-0.665273302986258
t7,-4.2211772078327,1.100611443362244,-4.151393537967104,1.235525951641608,-5.892536891615676,1.2015498041950012,-1.4142208884382936,2.1066525018107467,1.1559215316321116,0.6294755036117328
t8,0.6623893719905947,1.4333795925823682,0.080844540625255,8.466702307256428,-2.451377564837525,-6.636945493731636,2.7347802664769354,-1.367534025781188,-2.360891578003238,-3.3202714056010403
t9,-1.2455772556566924,0.5833922170852939,-1.57098926443897,-1.4531728603981606,-1.8286724336982934,5.573188106432783,-4.05312089239119,4.23674689921287,-6.514863901473497,3.0990088000069416
t10,-0.8858321959817781,-6.349841513219816,-3.7878446995361577,-2.2616125111654717,0.3808929405778677,2.6482435722803785,-1.1589779094090018,-3.2372541539682684,-2.16974588800049,-1.1453682631072706
t11,0.1980366630211443,2.309320616285737,7.157091527266741,2.2293935305666435,3.1119911476716857,5.868698208179828,1.817466555057346,0.7542242713536509,2.0882718149061867,5.486347526163384
t12,-0.8222912915648313,3.2564253153361533,3.9381560817914485,6.0324121390109555,1.5393003742517504,10.777173260691992,7.929113420158542,4.620142962241879,4.416298671014317,3.239640236213763
t13,5.330225199225635,3.0727703975917047,-3.844645397401816,3.1687842470035497,1.9643885675515553,7.687506376375786,5.523321766158657,4.772867101259784,2.727851580020277,6.405804789202825
t14,-0.40379726397825255,3.6992204794614834,2.967132414188774,1.5115617770517278,2.6361921886928066,4.967069156676416,0.3426839819711547,1.4897298624570872,7.566355700286433,2.713289604409264
t15,41.24446623469327,44.24264976515024,43.79755251200967,46.178399778686426,43.226662634851074,38.58531364720943,50.23492621537018,44.36641544023453,43.27526787893745,46.0736843559481
t16,46.89712100835886,50.49281491900415,49.599374830411264,44.73839333519226,47.17167063422201,44.87466025709607,47.40911644845301,49.60554773578807,46.71582971728461,52.505364249329574
t17,58.077005199413335,64.99417868542706,59.27104266337833,58.014050227343915,57.9041081944776,55.279481367812544,52.0220433061166,62.90938826686937,56.229595516181796,56.565799025200185
t18,56.91737432390264,58.53047131697016,53.322558009234704,58.292391737604774,56.00903425938717,54.867562821891994,51.63217512174738,51.27465657005887,54.0412807919665,53.44044657148523
t19,52.31533485101945,49.42011936619541,49.416386021557194,45.73448515732383,50.9343731138152,51.25471900427402,48.43039765361008,48.30636509711882,48.80280634787777,47.57760972574994
t20,43.64419306390071,47.52827935904136,41.34183020947622,45.57854253305182,45.42400845919437,42.01190014643758,41.658330947136115,45.940541242619354,44.858341509486756,40.7732590806641
t21,34.34214151520603,47.94111715968894,52.28617969756914,42.42410218828495,49.377618718873975,50.8470542741835,50.689101403514805,43.509674518305296,46.40141109493686,42.89983548723749
t22,38.92557413024061,33.13063401970562,28.584629202798702,34.567173791734895,34.02229032457296,32.064477305104035,37.07800645431076,40.713053371174595,35.88362936856352,29.892590590460205
t23,33.53950592632021,30.941804145173425,26.264131159358225,31.49682027742481,26.159912742094416,31.360097083924405,31.065834271639766,33.43145559273051,35.5730693443742,36.39996450101858
t24,17.607922244956573,25.484588013467764,26.497676231439627,14.416615138548792,22.186079910175494,24.286681342705027,26.307921691000825,17.61800626015996,19.351824110535027,25.510484698780296
