t,Baker (Solar),Family (Tesla),School (Battery)
t0,-0.10373532185416175,-0.26963164056845024,0.37336694509091894
t1,0.2669519241171468,1.3283176482965058,-1.595269477839209
t2,0.12947008744425395,0.5715409466505893,-0.7010106990196265
t3,-0.2270276026742371,1.6297335758499825,-1.40270559825135
t4,-0.11679906181948241,-0.3535767271603008,0.470375818390696
t5,-0.26341967835716623,-0.1295953671936305,0.3930152053027119
t6,0.08433888197156378,-1.27794571183678,1.1936069349368315
t7,-0.2371774944265965,-1.5888832168880014,1.8260607240401474
t8,0.011744591850085908,2.289905277370383,-2.301650071434441
t9,0.3215674873007368,-1.2149159262781406,0.8933481674755042
t10,0.324676670068127,0.7354950338317938,-1.0601714686414496
t11,0.33991252070022326,-0.9513438182911316,0.6114309341218575
t12,-0.08170805139439336,-1.422468713748943,1.5041766643425731
t13,-0.16294609452551068,1.4835681224802475,-1.3206219449146634
t14,0.6068358378012123,-2.1628428115287246,1.5560070297201782
t15,-0.7423538799873161,-2.497799821723159,3.240153416632015
t16,-0.45598703409483415,-1.658287702529219,2.1142753736290474
t17,-0.9403660190675236,-2.497755582406805,3.438123028877617
t18,-0.9747894099230844,-2.3526123522006213,3.3274007734054956
t19,-0.6151127410265228,-2.3127940182065716,2.927906805716864
t20,0.4236338094816587,-0.6207129966878766,0.1970793496597632
t21,-0.8381516408680739,-1.5732275157466118,2.4113799110270313
t22,-0.3509478261043285,-2.3254175450242642,2.676365455769463
t23,-0.8072686095776156,-1.683241473521584,2.4905101459071455
t24,0.1943582691552175,-1.2173736859545266,1.0230154983421644
